,0,1,2
ADM_RATE_9,0.7253577777777778,0.6788090395480225,0.574115909090909
ADM_RATE_10,0.7135077777777777,0.6698389830508474,0.5771128787878788
ADM_RATE_11,0.6985205555555556,0.6536163841807909,0.5803416666666666
ADM_RATE_12,0.70874,0.6556491525423729,0.5842431818181818
ADM_RATE_13,0.7077366666666667,0.6618531073446328,0.6145780303030304
ADM_RATE_14,0.71504,0.6724203389830509,0.6183643939393939
ADM_RATE_15,0.7110638888888889,0.6819005649717514,0.6325492424242424
ADM_RATE_16,0.7068694444444444,0.6780163841807909,0.632203787878788
ADM_RATE_17,0.7067294444444444,0.6981050847457627,0.6524704545454545
ADM_RATE_18,0.7167305555555556,0.7084468926553672,0.6584787878787879
ADM_RATE_19,0.7340644444444444,0.7205576271186441,0.6753484848484849
ADM_RATE_20,0.7700677777777778,0.7578242937853107,0.7069954545454546
ADM_RATE_21,0.7876783333333334,0.7755604519774012,0.7528825757575758
ADM_RATE_22,0.7867033333333333,0.7600610169491525,0.7555545454545455
